#BLTrackFile Det3_vd
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-18.8135 -3.14096 693.5 -185.038 -40.8748 10004.5 2.48074 211 1 1 0 1 
-3.12585 10.6543 693.5 -35.1285 75.5744 9995.63 2.48038 211 2 1 0 1 
11.3663 14.8003 693.5 46.4518 172.839 9991.17 2.48069 211 4 1 0 1 
16.0666 -8.20596 693.5 271.299 -86.7653 9998.3 2.4813 211 5 1 0 1 
0.887185 10.6287 693.5 -53.5613 -13.2497 10004.3 2.48033 211 6 1 0 1 
22.8724 9.80312 693.5 186.909 162.962 9993.12 2.48105 211 8 1 0 1 
-5.24553 -3.16998 693.5 -27.7302 -25.0207 9989.5 2.48031 211 9 1 0 1 
12.8885 1.85033 693.5 117.249 54.9905 10000.8 2.4805 211 10 1 0 1 
14.8726 -3.63626 693.5 126.569 -172.146 9985.67 2.48085 211 11 1 0 1 
9.28545 3.60727 693.5 151.718 0.374646 9988.03 2.48058 211 12 1 0 1 
-23.094 16.5161 693.5 -48.9789 17.4828 468.532 2.52792 -211 13 1002 1 1 
2.12701 -3.5799 693.5 -111.259 -202.778 6340.25 2.4811 211 13 1012 1 1 
9.32867 18.5039 693.5 27.2378 158.884 9996.32 2.48061 211 14 1 0 1 
-3.36345 -4.2877 693.5 -40.0727 92.7418 9990.82 2.48042 211 15 1 0 1 
1.23609 -4.51557 693.5 -31.0179 -126.438 9999.56 2.4805 211 16 1 0 1 
10.1729 -10.9031 693.5 166.481 -25.8258 10019 2.48064 211 17 1 0 1 
1.60324 -0.21995 693.5 23.5874 -117.396 9999.71 2.48046 211 18 1 0 1 
-4.00486 -15.7786 693.5 -156.579 -144.544 9999.12 2.4806 211 19 1 0 1 
-7.75226 8.77661 693.5 -45.0786 53.1389 9995.09 2.48035 211 20 1 0 1 
5.02191 -6.23335 693.5 19.1823 -38.8672 9993.87 2.48031 211 21 1 0 1 
-6.20744 19.7977 693.5 -41.8368 123.722 10000.6 2.4805 211 22 1 0 1 
21.7183 5.52415 693.5 214.36 46.4454 9997.59 2.48089 211 23 1 0 1 
3.0718 13.2523 693.5 66.6031 131.248 10007.9 2.48056 211 24 1 0 1 
-16.0528 2.82434 693.5 -125.142 14.5633 9995.63 2.48049 211 25 1 0 1 
-4.2881 -13.4151 693.5 -120.569 -128.187 9989.2 2.48068 211 26 1 0 1 
6.88923 -10.2625 693.5 146.755 -175.873 10010.4 2.48093 211 27 1 0 1 
4.04043 -12.2492 693.5 42.3755 -110.061 9994.89 2.48046 211 28 1 0 1 
15.9035 3.25935 693.5 175.931 69.0513 10016.8 2.48073 211 29 1 0 1 
5.77704 -9.14715 693.5 100.338 10.5177 9996.87 2.48042 211 30 1 0 1 
-18.1896 6.35213 693.5 -294.603 -12.2901 9987.58 2.48137 211 31 1 0 1 
-16.3199 4.26394 693.5 -180.921 10.1709 9987.41 2.4807 211 32 1 0 1 
8.40296 -3.60755 693.5 113.193 -77.3344 9997.61 2.48052 211 33 1 0 1 
4.55967 -4.46486 693.5 -25.9838 -155.891 9961.62 2.48061 211 34 1 0 1 
6.92631 -8.8958 694.5 0.791784 -1.42379 -2.5242 2.53959 22 34 1002 1 1 
-6.35076 -13.7723 693.5 -38.021 -78.252 9971.35 2.48038 211 35 1 0 1 
-4.94916 -8.72701 693.5 -46.7205 -115.905 9993.49 2.48049 211 36 1 0 1 
-5.58317 -4.15682 693.5 6.29664 -28.7496 9990.91 2.4803 211 37 1 0 1 
5.65774 -9.78995 693.5 70.6833 -133.115 9995.95 2.48058 211 38 1 0 1 
-5.8766 -11.5939 693.5 -80.4452 -76.9633 9977.54 2.48044 211 39 1 0 1 
-2.49287 5.87081 693.5 45.9554 49.7853 9977.9 2.48035 211 40 1 0 1 
2.50459 -1.07098 693.5 -65.4361 25.5235 10002.9 2.48035 211 41 1 0 1 
11.7548 8.23551 693.5 134.486 86.0328 9985.75 2.48061 211 42 1 0 1 
16.2332 5.54648 693.5 65.6056 -15.1251 9998.75 2.48035 211 43 1 0 1 
-1.68605 -15.7278 693.5 60.9296 -250.933 9995.68 2.48112 211 44 1 0 1 
-1.14919 -3.77892 693.5 -26.4239 -7.88113 9987.55 2.4803 211 45 1 0 1 
22.7861 4.68511 693.5 153.348 1.16627 10010.3 2.48059 211 46 1 0 1 
2.84922 7.99106 693.5 -22.5749 127.856 9993.96 2.4805 211 47 1 0 1 
5.39645 8.06353 693.5 46.82 123.433 10005.6 2.48052 211 48 1 0 1 
-2.24753 -4.65039 693.5 62.2901 -5.25423 9998.67 2.48034 211 49 1 0 1 
23.9887 3.38599 693.5 152.313 50.0028 10013.5 2.48061 211 50 1 0 1 
0.112313 4.30977 693.5 4.98938 50.6178 9988.78 2.48032 211 51 1 0 1 
-14.4159 8.55171 693.5 -155.793 -2.99139 9966.77 2.48059 211 52 1 0 1 
-6.26524 0.576076 693.5 -2.74339 51.0501 9976.73 2.48032 211 53 1 0 1 
-3.92543 -6.3934 693.5 -105.344 -57.6038 10001.1 2.48047 211 54 1 0 1 
13.0334 -23.3428 693.5 95.6576 -263.02 9990.49 2.48127 211 55 1 0 1 
-13.9568 7.536 693.5 -206.79 34.2064 9997.21 2.48083 211 56 1 0 1 
-5.84528 -19.3648 693.5 -112.353 -108.391 10000.4 2.4806 211 58 1 0 1 
21.722 -3.15093 693.5 255.636 -34.7321 9997.48 2.4811 211 59 1 0 1 
23.0693 -1.42043 694.5 102.227 138.443 -117.127 2.52967 2112 59 1002 1001 1 
22.708 -1.98272 694.5 180.429 230.923 -292.851 2.53491 1000010030 59 1003 1001 1 
21.5871 -3.25783 694.5 -28.8012 -16.9718 -207.624 2.51137 2212 59 1007 1 1 
24.3863 -5.61952 694.5 178.056 -166.404 -99.3149 2.5463 3222 59 1025 1 1 
-8.42229 16.328 693.5 12.9741 144.147 9985.05 2.48055 211 60 1 0 1 
-1.3119 -3.92901 693.5 -12.3454 8.87481 9995.31 2.48029 211 61 1 0 1 
0.0304343 -17.0855 693.5 -64.8135 -106.595 9990.01 2.48048 211 62 1 0 1 
13.2702 -11.4521 693.5 137.736 -127.785 10004.8 2.48072 211 63 1 0 1 
9.31903 -2.29478 693.5 74.8461 42.2366 9983.96 2.48039 211 64 1 0 1 
6.79841 -4.45072 693.5 28.0847 -55.6385 9989.32 2.48034 211 65 1 0 1 
2.5712 -2.28725 693.5 -36.0044 -45.8706 10005 2.48033 211 66 1 0 1 
7.34968 -10.6556 693.5 117.215 -131.131 10004.6 2.48068 211 67 1 0 1 
7.31536 14.5286 693.5 59.3628 191.015 10004.8 2.4808 211 68 1 0 1 
13.7037 21.6306 693.5 64.5827 239.896 10001.7 2.48105 211 69 1 0 1 
8.45039 -0.298414 693.5 109.182 -26.1876 10003 2.48045 211 70 1 0 1 
1.67505 -7.38587 693.5 -29.5053 -253.263 9993.39 2.48109 211 71 1 0 1 
8.95216 10.7944 693.5 136.227 124.883 9982.8 2.48072 211 72 1 0 1 
2.63997 1.19471 693.5 11.1597 -1.29768 10010.1 2.48029 211 73 1 0 1 
-7.43688 -4.41437 693.5 -68.9949 -102.578 9990.52 2.48048 211 74 1 0 1 
1.80108 -1.55854 693.5 -0.439786 -47.7345 9980.64 2.48032 211 75 1 0 1 
6.81375 -11.8181 693.5 61.4205 -168.722 9993.44 2.48069 211 76 1 0 1 
0.141762 14.0498 693.5 40.3486 101.158 10001.1 2.48044 211 77 1 0 1 
2.94274 4.14138 693.5 37.207 103.755 9999.97 2.48044 211 78 1 0 1 
-0.957007 1.59035 693.5 103.687 22.8267 9984.87 2.48043 211 79 1 0 1 
11.5406 11.9594 693.5 69.2595 170.591 10003.3 2.48071 211 80 1 0 1 
-6.18578 -23.4963 693.5 -21.5022 -73.8751 907.785 2.49567 211 81 1002 1 1 
-4.61761 2.58354 693.5 -45.6564 85.1526 10006.7 2.48041 211 82 1 0 1 
11.1734 7.74104 693.5 165.202 113.79 9986.86 2.48081 211 83 1 0 1 
13.481 12.7692 693.5 81.6674 129.74 10001.7 2.48058 211 84 1 0 1 
-10.4123 16.9937 693.5 -36.9145 161.912 9997.71 2.48063 211 85 1 0 1 
-12.2845 -8.32964 693.5 -105.708 -146.725 10015.3 2.48068 211 86 1 0 1 
-3.09699 11.2161 693.5 51.5746 61.1469 9998.59 2.48037 211 87 1 0 1 
2.15862 -13.7315 693.5 -2.43877 -112.771 10004.3 2.48045 211 88 1 0 1 
-1.14115 2.97134 693.5 6.80951 17.9004 9990.56 2.4803 211 89 1 0 1 
-3.80275 7.25574 693.5 -90.7358 -13.7707 10019.2 2.48039 211 90 1 0 1 
1.15158 -24.2965 693.5 -128.084 -253.651 9988.83 2.4813 211 91 1 0 1 
0.303144 4.10627 693.5 60.2991 -10.388 9989.26 2.48034 211 92 1 0 1 
-15.2543 -8.46515 693.5 -142.73 -104.15 9998.05 2.48068 211 93 1 0 1 
12.4978 5.73702 693.5 99.2732 1.98514 9987.49 2.48042 211 94 1 0 1 
-7.39963 -13.0575 693.5 -85.2002 -29.3488 9979.1 2.48039 211 96 1 0 1 
4.34989 6.51243 693.5 101.886 72.9241 9987.28 2.48049 211 97 1 0 1 
0.833973 3.74978 693.5 46.9719 88.238 9985.33 2.48041 211 98 1 0 1 
5.60626 -21.1709 693.5 63.9365 -189.779 10009.2 2.4808 211 99 1 0 1 
0.285358 -1.90934 693.5 26.2333 28.1675 9985.91 2.48031 211 100 1 0 1 
0.119665 -1.04224 693.5 23.3269 -76.9074 10004.3 2.48037 211 101 1 0 1 
3.59762 -5.31009 693.5 -44.5794 -146.236 9986.14 2.48058 211 102 1 0 1 
16.3292 2.94012 693.5 135.655 63.8867 9984.74 2.48057 211 103 1 0 1 
-0.716443 -0.0458343 693.5 44.1847 15.1692 9987.11 2.48032 211 104 1 0 1 
-4.88079 12.4274 693.5 -149.623 154.223 9996.22 2.48065 211 105 1 0 1 
10.3307 -8.20298 693.5 193.474 -96.6279 9992.56 2.48086 211 106 1 0 1 
8.68525 3.5705 693.5 17.0574 78.753 9987.07 2.48037 211 107 1 0 1 
0.286564 8.39207 693.5 21.945 4.07029 10005 2.4803 211 108 1 0 1 
-3.5918 -10.6789 693.5 -42.0301 -103.662 10002.4 2.48045 211 109 1 0 1 
9.89883 -3.47832 693.5 21.5167 -36.0998 9975.36 2.48031 211 110 1 0 1 
-14.3192 -5.28604 693.5 -182.997 -13.3025 9964 2.48071 211 111 1 0 1 
-7.68921 4.32663 693.5 -72.107 41.1736 9989.8 2.48038 211 112 1 0 1 
-2.59623 24.8549 693.5 -123.795 162.423 10004.3 2.48081 211 113 1 0 1 
6.99892 8.25495 693.5 15.302 81.954 10010.9 2.48038 211 114 1 0 1 
7.24472 -5.22437 693.5 64.3414 -61.3036 9978.6 2.48039 211 115 1 0 1 
-3.96262 -2.58589 693.5 59.7583 -55.3589 10005.8 2.48037 211 116 1 0 1 
-1.03281 -6.26196 693.5 63.8669 -3.27449 9992.94 2.48034 211 117 1 0 1 
10.9549 6.67761 693.5 95.228 67.7496 10014.5 2.48047 211 118 1 0 1 
-14.3577 0.756011 693.5 -234.772 57.4272 9982.46 2.48102 211 119 1 0 1 
4.83211 0.828381 693.5 21.4483 76.101 9978.85 2.48037 211 120 1 0 1 
-4.11922 -15.5299 693.5 2.11384 -123.348 9996.4 2.48048 211 121 1 0 1 
10.2364 -3.31479 693.5 91.9687 -64.2202 10005.4 2.48045 211 122 1 0 1 
14.0227 1.58376 694.5 81.1912 107.28 -23.3433 2.5173 211 122 1009 1 1 
12.421 -0.0747519 694.5 111.85 168.255 -56.4048 2.50365 211 122 1011 1 1 
-3.00831 -0.272603 693.5 -154.604 -5.45705 10008.9 2.48059 211 123 1 0 1 
-2.41322 -13.7951 693.5 97.5771 -144.457 9987.25 2.48067 211 124 1 0 1 
2.63757 -0.337046 693.5 40.7281 -31.2735 9994.57 2.48032 211 125 1 0 1 
6.12702 -1.42206 693.5 -4.42037 -31.8684 9988.26 2.4803 211 126 1 0 1 
10.8514 -10.4115 693.5 198.737 -141.088 9997.38 2.48103 211 127 1 0 1 
-5.47031 0.199199 693.5 71.2396 29.7529 10020.4 2.48036 211 128 1 0 1 
-1.00698 14.7013 693.5 -25.3872 189.774 9988.55 2.48075 211 129 1 0 1 
-6.74982 -18.8223 693.5 -79.8655 -195.625 9998.21 2.48085 211 130 1 0 1 
-5.70005 5.97265 693.5 -54.764 82.8253 10001.7 2.48041 211 131 1 0 1 
-3.97979 -10.7531 693.5 12.3668 -91.6671 9996.32 2.4804 211 132 1 0 1 
-12.0346 1.31774 693.5 -146.494 -15.0312 9981.56 2.48056 211 134 1 0 1 
3.11649 6.05152 693.5 22.2766 39.5444 9986.41 2.48032 211 135 1 0 1 
-13.3657 -3.64424 693.5 -110.807 27.5339 10012.8 2.48045 211 136 1 0 1 
-11.8084 4.36732 693.5 -153.901 -20.0101 9994.45 2.48059 211 137 1 0 1 
-4.09422 -9.22043 693.5 -53.6587 -98.3977 9979.51 2.48045 211 138 1 0 1 
-0.386801 6.31185 693.5 -39.2582 -13.554 9974.86 2.48031 211 139 1 0 1 
