#BLTrackFile Det1_vd
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-7.69645 -0.670681 93.5 -128.847 -30.1429 7009.07 0.478845 211 1 1 0 1 
-0.931984 6.10518 93.5 -26.4863 53.5376 7000.58 0.478777 211 2 1 0 1 
2.51303 0.528068 93.5 -55.9533 89.637 6994.29 0.478814 211 3 1 0 1 
23.6151 24.7518 94.5 129.181 152.002 -49.2339 0.64432 211 3 1009 1 1 
76.9731 -32.3385 94.5 27.5091 -12.1762 -3.25146 0.785032 22 3 1017 1016 1 
21.5414 98.3007 94.5 47.5916 243.22 -21.9444 0.844738 22 3 1018 1016 1 
8.61641 4.42637 93.5 30.9982 121.703 6995.59 0.478837 211 4 1 0 1 
-0.171983 -2.9796 93.5 191.712 -62.1169 7003.35 0.478958 211 5 1 0 1 
3.9766 11.4871 93.5 -35.6274 -9.86151 7007.77 0.478766 211 6 1 0 1 
0.793688 16.3898 93.5 19.3331 230.771 6988.17 0.479023 211 7 1 0 1 
11.688 0.022025 93.5 128.56 115.002 6997.63 0.478905 211 8 1 0 1 
-3.61237 -1.63546 93.5 -19.2373 -18.3695 6992.61 0.478763 211 9 1 0 1 
5.87395 -1.43657 93.5 81.4528 39.0347 7004.92 0.478799 211 10 1 0 1 
7.24559 6.59658 93.5 90.9996 -119.552 6989.61 0.47887 211 11 1 0 1 
0.125923 3.58408 93.5 108.337 0.862725 6991.57 0.478817 211 12 1 0 1 
8.05816 4.25733 93.5 -19.0788 32.4426 7022.32 0.478766 211 13 1 0 1 
7.74748 8.95117 93.5 14.9205 110.787 6999.99 0.478821 211 14 1 0 1 
-0.9454 -9.8464 93.5 -30.2155 66.3915 6995.53 0.478786 211 15 1 0 1 
3.07482 3.01435 93.5 -21.3804 -87.9683 7004.5 0.478799 211 16 1 0 1 
0.230466 -9.43639 93.5 115.766 -16.2098 7022.63 0.478825 211 17 1 0 1 
0.174121 6.75726 93.5 15.8248 -79.2744 7003.75 0.478791 211 18 1 0 1 
2.41646 -8.74823 93.5 -42.4029 -63.922 7004.94 0.478788 211 19 1 0 1 
-5.01234 5.61342 93.5 -32.8556 35.7611 6998.46 0.478771 211 20 1 0 1 
3.84441 -3.86701 93.5 12.7184 -28.1088 6997.55 0.478764 211 21 1 0 1 
