#BLTrackFile Det3_vd
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-18.8508 -3.09398 693.5 -129.897 -27.9786 7005.07 2.48099 211 1 1 0 1 
-3.09384 10.6375 693.5 -23.7948 52.6356 6995.74 2.48063 211 2 1 0 1 
-64.2935 -59.1403 693.5 -269.911 -244.943 2405.06 2.50604 -211 3 1015 1 1 
11.4055 14.7726 693.5 33.1615 120.654 6991.66 2.48094 211 4 1 0 1 
15.987 -8.16508 693.5 189.211 -60.1675 6999.55 2.48154 211 5 1 0 1 
0.869335 10.6204 693.5 -38.3371 -9.0811 7004.33 2.48058 211 6 1 0 1 
2.6955 36.1618 693.5 22.9617 228.986 6983.48 2.4819 211 7 1 0 1 
22.9415 9.76881 693.5 131.81 113.669 6994.04 2.4813 211 8 1 0 1 
-5.23823 -3.15232 693.5 -19.482 -17.1451 6989.52 2.48056 211 9 1 0 1 
12.905 1.82617 693.5 82.3716 38.2742 7001.06 2.48075 211 10 1 0 1 
14.7931 -3.62345 693.5 87.514 -120.845 6986.36 2.4811 211 11 1 0 1 
9.22634 3.58558 693.5 105.237 0.00793415 6988.39 2.48083 211 12 1 0 1 
-34.772 95.2903 693.5 -51.4812 109.849 356.235 2.53503 22 13 1004 1002 1 
-23.1442 50.0021 693.5 -113.391 165.457 1085.01 2.50464 -211 13 1006 1 1 
-0.25706 -9.59791 693.5 -107.787 -220.529 4190.2 2.48257 211 13 1008 1 1 
9.45799 18.5275 693.5 20.8378 111.393 6996.71 2.48087 211 14 1 0 1 
-3.28884 -4.34602 693.5 -27.1113 64.2685 6990.99 2.48067 211 15 1 0 1 
-0.163061 1.68342 694.5 1.98599 3.71661 -6.22444 2.55719 22 15 1002 1 1 
-18.5572 -28.5699 694.5 -125.933 -197.649 -85.0351 2.83161 2212 15 1003 1 1 
1.23294 -4.51337 693.5 -21.8619 -88.7675 6999.82 2.48075 211 16 1 0 1 
10.1949 -10.938 693.5 117.033 -18.9024 7019.46 2.48089 211 17 1 0 1 
1.63502 -0.299683 693.5 16.817 -83.4438 6999.91 2.48072 211 18 1 0 1 
-5.49043 -16.5947 693.5 -144.99 -120.527 6998.8 2.48099 211 19 1 0 1 
-7.719 8.81794 693.5 -30.9878 37.8005 6995.17 2.4806 211 20 1 0 1 
5.05846 -6.2152 693.5 13.7116 -26.8322 6993.9 2.48057 211 21 1 0 1 
-6.17545 19.7795 693.5 -29.2653 86.2004 7000.87 2.48075 211 22 1 0 1 
21.6033 5.64299 693.5 148.497 34.3813 6998.34 2.48114 211 23 1 0 1 
3.04113 13.1931 693.5 46.6003 91.1261 7008.23 2.48081 211 24 1 0 1 
-16.0415 2.7739 693.5 -87.302 9.40451 6995.88 2.48074 211 25 1 0 1 
-4.28913 -13.3768 693.5 -84.192 -88.8831 6989.69 2.48093 211 26 1 0 1 
6.97114 -10.2695 693.5 103.733 -123.555 7011.18 2.48119 211 27 1 0 1 
3.96286 -12.2352 693.5 28.6252 -77.6489 6995.1 2.48071 211 28 1 0 1 
15.8877 3.24552 693.5 122.865 48.1702 7017.31 2.48098 211 29 1 0 1 
5.7444 -9.13834 693.5 69.9503 7.14125 6997.03 2.48067 211 30 1 0 1 
-18.1213 6.34692 693.5 -205.384 -8.58111 6988.92 2.48162 211 31 1 0 1 
-16.295 4.30368 693.5 -126.264 7.771 6987.92 2.48095 211 32 1 0 1 
8.37922 -3.59951 693.5 79.2617 -53.6881 6997.9 2.48077 211 33 1 0 1 
4.49005 -4.47121 693.5 -19.0665 -108.746 6962.01 2.48086 211 34 1 0 1 
-6.36256 -13.7739 693.5 -26.8673 -55.0233 6971.46 2.48064 211 35 1 0 1 
-4.98129 -8.71706 693.5 -33.3062 -80.3934 6993.74 2.48074 211 36 1 0 1 
-5.6424 -4.12963 693.5 3.76456 -20.0985 6990.93 2.48055 211 37 1 0 1 
5.55681 -9.79163 693.5 47.7764 -93.3332 6996.31 2.48082 211 38 1 0 1 
-5.89294 -11.6328 693.5 -56.6555 -54.2112 6977.73 2.4807 211 39 1 0 1 
-2.42391 5.86047 693.5 33.1986 34.7656 6977.97 2.4806 211 40 1 0 1 
2.5852 -1.0005 693.5 -44.6382 18.6398 7002.95 2.4806 211 41 1 0 1 
11.7526 8.22372 693.5 94.1007 59.8899 6986.15 2.48086 211 42 1 0 1 
16.1786 5.51762 693.5 44.9896 -10.6957 6998.83 2.4806 211 43 1 0 1 
-1.74836 -15.7881 693.5 41.1502 -176.186 6996.68 2.48138 211 44 1 0 1 
27.6592 -36.2559 693.5 0.336555 -0.271598 3.16934 2.50394 11 44 1001 1 1 
-1.1881 -3.7841 693.5 -19.0244 -5.52783 6987.56 2.48055 211 45 1 0 1 
22.718 4.72895 693.5 106.251 1.73017 7010.69 2.48083 211 46 1 0 1 
2.85014 7.96482 693.5 -15.8494 88.925 6994.23 2.48075 211 47 1 0 1 
5.34764 7.9664 693.5 31.81 84.6634 7005.94 2.48076 211 48 1 0 1 
-2.29603 -4.65185 693.5 43.2139 -4.25221 6998.74 2.48059 211 49 1 0 1 
23.9889 3.34695 693.5 106.587 34.6352 7013.91 2.48086 211 50 1 0 1 
0.149309 4.27274 693.5 4.13985 34.7568 6988.83 2.48058 211 51 1 0 1 
-14.4268 8.49816 693.5 -109.291 -2.53689 6967.14 2.48085 211 52 1 0 1 
-6.24353 0.617249 693.5 -1.73345 36.4379 6976.77 2.48058 211 53 1 0 1 
-3.90028 -6.41477 693.5 -73.469 -40.8744 7001.29 2.48072 211 54 1 0 1 
13.0354 -23.3273 693.5 67.2499 -183.527 6991.68 2.48152 211 55 1 0 1 
-14.0392 7.50687 693.5 -145.917 23.3363 6997.85 2.48109 211 56 1 0 1 
