#BLTrackFile Det1_vd
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-7.69645 -0.670681 93.5 -36.9488 -8.64397 2009.97 0.479902 211 1 1 0 1 
-0.931984 6.10518 93.5 -7.56979 15.301 2000.76 0.479845 211 2 1 0 1 
2.51303 0.528068 93.5 -15.9586 25.5656 1994.86 0.479889 211 3 1 0 1 
-3.1089 -11.3296 94.5 -1.09918 -2.37017 -1.54717 0.560518 22 3 1001 1 1 
-6.25832 1.63616 94.5 -5.0408 0.576528 -4.52703 0.548515 22 3 1002 1 1 
8.61641 4.42637 93.5 8.84625 34.7315 1996.4 0.47991 211 4 1 0 1 
-0.171983 -2.9796 93.5 54.8971 -17.7873 2005.42 0.48002 211 5 1 0 1 
3.9766 11.4871 93.5 -10.2078 -2.82548 2007.84 0.479826 211 6 1 0 1 
0.793688 16.3898 93.5 5.50795 65.7462 1990.92 0.480101 211 7 1 0 1 
11.688 0.022025 93.5 36.7282 32.8548 1999.15 0.479975 211 8 1 0 1 
-3.61237 -1.63546 93.5 -5.48194 -5.23465 1992.65 0.479841 211 9 1 0 1 
5.87395 -1.43657 93.5 23.3179 11.1747 2005.33 0.479862 211 10 1 0 1 
7.24559 6.59658 93.5 25.9183 -34.0506 1990.76 0.47995 211 11 1 0 1 
0.125923 3.58408 93.5 30.8695 0.245823 1992.17 0.479895 211 12 1 0 1 
8.05816 4.25733 93.5 -5.4946 9.34331 2022.39 0.47981 211 13 1 0 1 
7.74748 8.95117 93.5 4.26435 31.6635 2000.62 0.479889 211 14 1 0 1 
-0.9454 -9.8464 93.5 -8.62039 18.9413 1995.8 0.479859 211 15 1 0 1 
3.07482 3.01435 93.5 -6.11978 -25.1794 2004.92 0.479863 211 16 1 0 1 
0.230466 -9.43639 93.5 33.354 -4.67027 2023.33 0.479868 211 17 1 0 1 
0.174121 6.75726 93.5 4.52816 -22.6839 2004.08 0.479856 211 18 1 0 1 
2.41646 -8.74823 93.5 -12.1383 -18.2984 2005.24 0.479851 211 19 1 0 1 
-5.01234 5.61342 93.5 -9.38271 10.2124 1998.58 0.479842 211 20 1 0 1 
3.84441 -3.86701 93.5 3.63073 -8.02424 1997.6 0.479836 211 21 1 0 1 
-3.76656 12.3331 93.5 -8.40805 25.09 2004.8 0.479865 211 22 1 0 1 
8.81309 2.83434 93.5 43.973 8.05122 2003.12 0.479944 211 23 1 0 1 
-0.857729 5.36475 93.5 13.4201 26.9206 2012.33 0.479868 211 24 1 0 1 
-8.51109 1.90966 93.5 -25.2236 3.44287 2000.02 0.479867 211 25 1 0 1 
2.99038 -5.64213 93.5 -24.174 -26.1231 1993.54 0.479912 211 26 1 0 1 
-1.91003 0.220508 93.5 28.9309 -35.1748 2016.38 0.479932 211 27 1 0 1 
1.47764 -5.79735 93.5 9.13392 -21.6429 2001.99 0.479859 211 28 1 0 1 
5.32541 -0.88533 93.5 35.7753 14.0782 2022.19 0.47989 211 29 1 0 1 
-0.226244 -9.84345 93.5 20.2931 2.25414 2002.2 0.479851 211 30 1 0 1 
-0.496712 7.10643 93.5 -59.3589 -2.46778 1995.05 0.480046 211 31 1 0 1 
-5.44514 3.6914 93.5 -36.322 1.59415 1993.42 0.479916 211 32 1 0 1 
1.67017 1.10456 93.5 22.6571 -15.7888 2002.3 0.479871 211 33 1 0 1 
6.1038 4.97971 93.5 -4.53535 -30.9142 1967.37 0.479928 211 34 1 0 1 
-4.09214 -9.12285 93.5 -7.34765 -15.2972 1975.58 0.479875 211 35 1 0 1 
-2.19112 -1.64742 93.5 -8.93208 -23.6446 1997.34 0.47987 211 36 1 0 1 
-5.94481 -2.48774 93.5 1.63389 -5.78383 1994.78 0.479837 211 37 1 0 1 
1.31184 -1.83142 93.5 15.2879 -26.5339 2002.18 0.479882 211 38 1 0 1 
-1.08011 -6.95189 93.5 -15.716 -15.0332 1981.54 0.479879 211 39 1 0 1 
