#BLTrackFile Det2_vd
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-13.3432 -1.84546 393.5 -75.5006 -15.6314 4007.46 1.48052 211 1 1 0 1 
-2.07147 8.36466 393.5 -15.1917 30.1006 3999.02 1.48031 211 2 1 0 1 
10.014 9.55874 393.5 18.6184 68.2906 3993.93 1.48049 211 4 1 0 1 
7.75966 -5.54405 393.5 105.678 -34.1647 4002.74 1.48084 211 5 1 0 1 
2.5447 10.9736 393.5 -19.0716 -6.90557 4006.14 1.48027 211 6 1 0 1 
17.3571 4.84914 393.5 75.6099 64.254 3996.72 1.48071 211 8 1 0 1 
-4.37831 -2.40818 393.5 -10.1584 -10.272 3991.13 1.48027 211 9 1 0 1 
9.38709 0.150936 393.5 46.9118 21.1454 4002.91 1.48038 211 10 1 0 1 
10.9461 1.63078 393.5 49.0919 -65.9364 3988.72 1.48059 211 11 1 0 1 
4.65509 3.55831 393.5 60.1806 -0.376119 3990.4 1.48043 211 12 1 0 1 
7.24822 5.64919 393.5 -10.8522 18.6569 4020.62 1.48027 211 13 1 0 1 
4.87182 0.961475 394.5 -0.585897 -1.18019 -1.88434 1.53958 22 13 1002 1 1 
8.7023 13.7887 393.5 12.8939 64.525 3998.54 1.48045 211 14 1 0 1 
-2.03771 -7.18105 393.5 -14.4348 35.3894 3994.13 1.48033 211 15 1 0 1 
2.17659 -0.678726 393.5 -11.9753 -49.235 4002.73 1.48038 211 16 1 0 1 
5.20842 -10.1385 393.5 66.7458 -9.41695 4021.44 1.48045 211 17 1 0 1 
0.959608 3.20677 393.5 10.5358 -47.4467 4002.07 1.48036 211 18 1 0 1 
0.639923 -11.4805 393.5 -23.6864 -36.4588 4003.4 1.48034 211 19 1 0 1 
-6.3639 7.23698 393.5 -17.9763 21.6785 3996.83 1.48029 211 20 1 0 1 
4.52825 -5.05539 393.5 9.18132 -15.8187 3995.58 1.48027 211 21 1 0 1 
-4.85044 16.0809 393.5 -14.3545 49.9833 4002.69 1.48038 211 22 1 0 1 
15.1134 4.27457 393.5 83.8717 19.3321 4000.95 1.48061 211 23 1 0 1 
0.980096 9.22656 393.5 24.4811 51.5436 4010.38 1.48041 211 24 1 0 1 
-12.297 2.32544 393.5 -50.4443 5.51083 3997.71 1.48038 211 25 1 0 1 
-0.693251 -9.54666 393.5 -49.0367 -51.9375 3991.64 1.4805 211 26 1 0 1 
2.63568 -4.96514 393.5 60.9536 -69.3621 4014.21 1.48064 211 27 1 0 1 
2.65309 -8.81182 393.5 15.5702 -40.0719 4000.05 1.48035 211 28 1 0 1 
10.6335 1.17279 393.5 71.1285 27.5626 4020.01 1.48051 211 29 1 0 1 
2.69578 -9.40525 393.5 38.8636 5.85905 3998.75 1.48033 211 30 1 0 1 
-9.21775 6.7017 393.5 -115.949 -5.40382 3992.33 1.4809 211 31 1 0 1 
-10.8459 4.00158 393.5 -71.8222 4.16409 3991.47 1.4805 211 32 1 0 1 
4.92422 -1.31837 393.5 43.338 -32.3235 3999.94 1.48039 211 33 1 0 1 
5.23226 0.182862 393.5 -11.5937 -63.4342 3964.08 1.48047 211 34 1 0 1 
-5.20794 -11.3821 393.5 -14.776 -29.8934 3973.29 1.48032 211 35 1 0 1 
-3.57183 -5.30959 393.5 -18.4106 -48.8354 3995.71 1.48038 211 36 1 0 1 
-5.88305 -3.20977 393.5 0.714772 -9.55744 3992.9 1.48027 211 37 1 0 1 
3.43222 -5.77644 393.5 28.1824 -52.5767 3998.96 1.48042 211 38 1 0 1 
-3.45912 -9.35659 393.5 -31.5583 -31.9673 3979.61 1.48036 211 39 1 0 1 
-3.78796 4.34681 393.5 18.8783 19.2649 3979.91 1.4803 211 40 1 0 1 
4.57736 -1.70655 393.5 -25.2609 12.1621 4004.66 1.48029 211 41 1 0 1 
7.70552 5.65169 393.5 53.4796 34.8058 3988.18 1.48045 211 42 1 0 1 
14.2083 5.91985 393.5 26.2647 -7.77016 4000.48 1.48029 211 43 1 0 1 
-3.51836 -8.32455 393.5 26.4332 -102.753 4004.28 1.48076 211 44 1 0 1 
-0.412399 -3.55734 393.5 -11.1358 -3.4855 3989.15 1.48027 211 45 1 0 1 
18.1177 4.67398 393.5 61.371 -0.255663 4013.56 1.48043 211 46 1 0 1 
3.53654 4.13986 393.5 -8.72866 51.6078 3996.8 1.48039 211 47 1 0 1 
3.96031 4.27568 393.5 19.3726 49.8902 4007.8 1.48039 211 48 1 0 1 
-4.2248 -4.42218 393.5 22.9645 0.409561 4000.42 1.48028 211 49 1 0 1 
19.4389 1.81106 393.5 61.5493 18.7794 4015.82 1.48044 211 50 1 0 1 
-0.00152066 2.75477 393.5 1.90957 20.3259 3991.29 1.48028 211 51 1 0 1 
-9.70848 8.52254 393.5 -61.2351 -3.33099 3973.01 1.48044 211 52 1 0 1 
-6.1359 -0.921224 393.5 -0.230672 20.2092 3978.62 1.48029 211 53 1 0 1 
-0.719451 -4.66353 393.5 -41.4645 -22.2298 4003.19 1.48036 211 54 1 0 1 
10.1272 -15.4653 393.5 37.0181 -106.433 3994.7 1.48085 211 55 1 0 1 
-7.86813 6.4938 393.5 -83.8423 14.1759 4000.05 1.48058 211 56 1 0 1 
20.7806 2.15955 393.5 101.17 -43.9144 3968.49 1.48084 211 57 1 0 1 
-2.4222 -15.9781 393.5 -45.0739 -41.8514 4002.91 1.48044 211 58 1 0 1 
14.1709 -2.16662 393.5 102.333 -14.7372 4004.16 1.48074 211 59 1 0 1 
11.0733 5.65204 394.5 -70.7755 159.747 -188.971 1.66195 2212 59 1007 1 1 
-8.92134 11.9635 393.5 3.56333 56.5603 3988.05 1.48041 211 60 1 0 1 
-0.902923 -4.25865 393.5 -3.69018 2.5071 3997.07 1.48026 211 61 1 0 1 
1.97896 -14.0124 393.5 -24.7474 -43.2854 3992.23 1.48037 211 62 1 0 1 
8.96762 -7.55149 393.5 51.7106 -49.7641 4008.03 1.4805 211 63 1 0 1 
7.0351 -3.6083 393.5 31.1019 16.2928 3986.03 1.48032 211 64 1 0 1 
6.00784 -2.73594 393.5 12.1102 -21.1252 3991.06 1.48029 211 65 1 0 1 
3.67063 -0.993549 393.5 -14.6941 -19.2757 4006.72 1.48028 211 66 1 0 1 
3.86982 -6.70103 393.5 48.3831 -51.7665 4007.02 1.48048 211 67 1 0 1 
5.53248 8.63529 393.5 24.2638 75.0549 4008.24 1.48055 211 68 1 0 1 
11.8329 14.4385 393.5 26.8003 95.6779 4005.37 1.48071 211 69 1 0 1 
5.33601 0.479024 393.5 46.2529 -10.622 4006.11 1.48035 211 70 1 0 1 
2.63181 0.154174 393.5 -10.9469 -101.07 3997.06 1.48073 211 71 1 0 1 
4.92696 7.03162 393.5 54.9025 50.2275 3985.42 1.48052 211 72 1 0 1 
2.25788 1.25083 393.5 3.65469 -0.742004 4011.72 1.48025 211 73 1 0 1 
-5.28226 -1.41876 393.5 -26.7535 -41.005 3992.99 1.48037 211 74 1 0 1 
1.79215 -0.0131426 393.5 -1.68595 -17.1973 3982.41 1.48028 211 75 1 0 1 
5.04781 -6.70855 393.5 25.5991 -66.8542 3996.19 1.4805 211 76 1 0 1 
-1.06405 10.9917 393.5 15.7074 41.0005 4003.13 1.48034 211 77 1 0 1 
1.81659 1.13747 393.5 14.8983 42.8046 4003.91 1.48035 211 78 1 0 1 
