#BLTrackFile Det1_vd
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-7.69645 -0.670681 93.5 -73.7079 -17.2436 4009.61 0.47904 211 1 1 0 1 
-0.931984 6.10518 93.5 -15.1364 30.5956 4000.69 0.478973 211 2 1 0 1 
2.51303 0.528068 93.5 -31.9565 51.1942 3994.63 0.479011 211 3 1 0 1 
-1.00186 -0.884778 94.5 -58.9335 -26.2696 -143.849 0.541069 22 3 1004 1002 1 
8.61641 4.42637 93.5 17.707 69.5202 3996.07 0.479033 211 4 1 0 1 
-0.171983 -2.9796 93.5 109.623 -35.5191 4004.6 0.479153 211 5 1 0 1 
3.9766 11.4871 93.5 -20.3757 -5.63989 4007.81 0.478961 211 6 1 0 1 
0.793688 16.3898 93.5 11.038 131.756 3989.82 0.47922 211 7 1 0 1 
11.688 0.022025 93.5 73.4609 65.7136 3998.54 0.479101 211 8 1 0 1 
-3.61237 -1.63546 93.5 -10.9841 -10.4886 3992.63 0.47896 211 9 1 0 1 
5.87395 -1.43657 93.5 46.5719 22.3187 4005.17 0.478995 211 10 1 0 1 
7.24559 6.59658 93.5 51.9508 -68.2513 3990.3 0.479068 211 11 1 0 1 
0.125923 3.58408 93.5 61.8566 0.492584 3991.93 0.479014 211 12 1 0 1 
8.05816 4.25733 93.5 -10.9283 18.583 4022.36 0.478959 211 13 1 0 1 
7.74748 8.95117 93.5 8.52683 63.3131 4000.37 0.479017 211 14 1 0 1 
-0.9454 -9.8464 93.5 -17.2585 37.9214 3995.69 0.478982 211 15 1 0 1 
3.07482 3.01435 93.5 -12.224 -50.295 4004.75 0.478995 211 16 1 0 1 
0.230466 -9.43639 93.5 66.319 -9.28607 4023.05 0.479019 211 17 1 0 1 
0.174121 6.75726 93.5 9.0468 -45.3201 4003.95 0.478987 211 18 1 0 1 
2.41646 -8.74823 93.5 -24.2441 -36.5478 4005.12 0.478984 211 19 1 0 1 
-5.01234 5.61342 93.5 -18.7718 20.4319 3998.53 0.478968 211 20 1 0 1 
3.84441 -3.86701 93.5 7.26578 -16.058 3997.58 0.478961 211 21 1 0 1 
-3.76656 12.3331 93.5 -16.7952 50.1178 4004.63 0.478997 211 22 1 0 1 
8.81309 2.83434 93.5 87.8666 16.0879 4002.62 0.479075 211 23 1 0 1 
-0.857729 5.36475 93.5 26.7566 53.6733 4012.11 0.479007 211 24 1 0 1 
-8.51109 1.90966 93.5 -50.4448 6.88542 3999.86 0.478995 211 25 1 0 1 
2.99038 -5.64213 93.5 -48.4224 -52.3268 3993.22 0.479033 211 26 1 0 1 
-1.91003 0.220508 93.5 57.6194 -70.055 4015.87 0.479075 211 27 1 0 1 
1.47764 -5.79735 93.5 18.2581 -43.2627 4001.86 0.478988 211 28 1 0 1 
5.32541 -0.88533 93.5 71.1517 27.9994 4021.83 0.479039 211 29 1 0 1 
-0.226244 -9.84345 93.5 40.5629 4.50568 4002.09 0.47898 211 30 1 0 1 
-0.496712 7.10643 93.5 -118.839 -4.94059 3994.16 0.479169 211 31 1 0 1 
-5.44514 3.6914 93.5 -72.7579 3.19329 3993.08 0.479036 211 32 1 0 1 
1.67017 1.10456 93.5 45.2859 -31.5579 4002.11 0.479001 211 33 1 0 1 
6.1038 4.97971 93.5 -9.14534 -62.3372 3967.11 0.479021 211 34 1 0 1 
-4.09214 -9.12285 93.5 -14.7858 -30.7828 3975.51 0.478977 211 35 1 0 1 
-2.19112 -1.64742 93.5 -17.8753 -47.3187 3997.18 0.478994 211 36 1 0 1 
-5.94481 -2.48774 93.5 3.27204 -11.5828 3994.77 0.478959 211 37 1 0 1 
1.31184 -1.83142 93.5 30.5574 -53.0359 4001.94 0.479011 211 38 1 0 1 
-1.08011 -6.95189 93.5 -31.5775 -30.2056 3981.42 0.478987 211 39 1 0 1 
-5.20536 2.89282 93.5 16.9389 19.9089 3981.46 0.478969 211 40 1 0 1 
6.47694 -2.60898 93.5 -27.7845 9.15001 4006.15 0.478968 211 41 1 0 1 
3.68192 3.03371 93.5 53.7254 34.7789 3990.37 0.479019 211 42 1 0 1 
12.2351 6.49709 93.5 27.5287 -5.87519 4002.08 0.478967 211 43 1 0 1 
-5.49853 -0.6341 93.5 26.4321 -99.8387 4006.4 0.479114 211 44 1 0 1 
0.421317 -3.29625 93.5 -9.84374 -3.13022 3991.1 0.478959 211 45 1 0 1 
13.5257 4.69449 93.5 63.0308 -0.742861 4015.37 0.479012 211 46 1 0 1 
4.19239 0.265421 93.5 -8.96565 51.8902 3998.3 0.478998 211 47 1 0 1 
2.50825 0.535725 93.5 20.0612 51.8193 4009.39 0.479 211 48 1 0 1 
-5.95424 -4.44792 93.5 25.5057 -1.31929 4001.88 0.478965 211 49 1 0 1 
14.8419 0.403005 93.5 61.245 20.5869 4017.51 0.479015 211 50 1 0 1 
-0.142768 1.2248 93.5 1.11762 21.0977 3992.84 0.478964 211 51 1 0 1 
-5.08841 8.76723 93.5 -61.6848 -0.606943 3978.46 0.479016 211 52 1 0 1 
-6.11537 -2.44267 93.5 -1.31925 19.394 3980.32 0.478964 211 53 1 0 1 
2.39097 -2.99735 93.5 -42.5546 -22.3371 4005.24 0.478989 211 54 1 0 1 
7.34476 -7.47376 93.5 37.8647 -105.947 3996.62 0.479146 211 55 1 0 1 
-1.58769 5.42971 93.5 -81.2122 14.5 4001.73 0.479057 211 56 1 0 1 
13.139 5.48064 93.5 99.0013 -44.403 3970.21 0.479139 211 57 1 0 1 
0.959234 -12.8326 93.5 -46.2597 -44.9737 4004.77 0.479017 211 58 1 0 1 
6.5117 -1.06627 93.5 99.6629 -13.4225 4006.1 0.479106 211 59 1 0 1 
-9.19273 7.70717 93.5 6.09476 57.6103 4003.16 0.479005 211 60 1 0 1 
-0.623273 -4.45105 93.5 -4.62485 3.97944 3998.75 0.478957 211 61 1 0 1 
3.83895 -10.7679 93.5 -24.8759 -40.4268 3994.89 0.47899 211 62 1 0 1 
5.08542 -3.82195 93.5 55.7999 -51.4294 4009.54 0.47904 211 63 1 0 1 
4.69348 -4.83665 93.5 31.7967 17.3096 3988.17 0.478977 211 64 1 0 1 
5.10108 -1.145 93.5 10.8874 -22.177 3992.92 0.478966 211 65 1 0 1 
4.77206 0.444313 93.5 -15.1245 -17.4049 4008.37 0.478962 211 66 1 0 1 
0.249947 -2.82377 93.5 47.5304 -52.335 4008.57 0.479029 211 67 1 0 1 
3.71432 3.00891 93.5 24.3293 78.8978 4011.38 0.479055 211 68 1 0 1 
9.82999 7.27245 93.5 25.2744 95.6656 4007.15 0.479101 211 69 1 0 1 
1.88302 1.27392 93.5 42.5539 -10.4394 4008.32 0.478983 211 70 1 0 1 
3.4546 7.74145 93.5 -12.545 -99.813 3999.22 0.479107 211 71 1 0 1 
0.798674 3.25021 93.5 53.375 50.4428 3987.12 0.479039 211 72 1 0 1 
1.98139 1.30738 93.5 4.77189 -1.11261 4013.6 0.478954 211 73 1 0 1 
-3.27021 1.65735 93.5 -28.5882 -39.1569 3995.37 0.478992 211 74 1 0 1 
1.91746 1.28974 93.5 -1.10109 -19.7653 3984.07 0.478964 211 75 1 0 1 
3.13028 -1.68699 93.5 23.8277 -67.9323 3999.13 0.479033 211 76 1 0 1 
-2.24148 7.92026 93.5 15.6506 41.4869 4005.37 0.478984 211 77 1 0 1 
0.699694 -2.06261 93.5 15.1207 40.3374 4005.54 0.478983 211 78 1 0 1 
-7.22541 0.218677 93.5 41.7328 8.85047 3989.23 0.478985 211 79 1 0 1 
7.36667 1.6824 93.5 26.9084 68.463 4007.61 0.479035 211 80 1 0 1 
-4.16024 4.03334 93.5 66.1296 -44.3683 4008.81 0.479049 211 81 1 0 1 
7.54384 5.93493 94.5 1.37146 0.241428 -1.23505 0.569138 22 81 1004 1 1 
-1.79577 -2.47591 93.5 -18.9573 33.1647 4010.47 0.478976 211 82 1 0 1 
1.1104 0.859367 93.5 67.7761 46.2689 3992.02 0.479058 211 83 1 0 1 
8.57205 5.06883 93.5 33.062 50.4411 4005.7 0.479009 211 84 1 0 1 
-8.18952 7.3182 93.5 -15.4301 65.0492 4002 0.479022 211 85 1 0 1 
-6.11972 0.384679 93.5 -40.4081 -57.1847 4020.22 0.479025 211 86 1 0 1 
-6.14352 7.53041 93.5 18.7461 25.3162 4002.09 0.47897 211 87 1 0 1 
2.31991 -6.95041 93.5 -1.20134 -45.3626 4008.09 0.478985 211 88 1 0 1 
-1.61748 1.95513 93.5 3.37059 7.22437 3993.95 0.478958 211 89 1 0 1 
1.63778 8.10833 93.5 -37.2589 -4.81698 4023.34 0.478973 211 90 1 0 1 
8.87419 -9.02655 93.5 -52.5305 -102.191 3995.17 0.479154 211 91 1 0 1 
-3.24458 4.79393 93.5 23.2893 -5.78162 3992.94 0.478965 211 92 1 0 1 
-6.70276 -2.27759 93.5 -57.2007 -42.1266 4004.27 0.47903 211 93 1 0 1 
6.39123 5.70551 93.5 42.165 -0.77817 3991.5 0.478984 211 94 1 0 1 
-1.19925 -22.9785 93.5 12.159 -50.2231 3988.01 0.478998 211 95 1 0 1 
-2.25975 -11.2456 93.5 -33.7303 -12.87 3982.91 0.478978 211 96 1 0 1 
-1.7917 2.1316 93.5 40.8215 28.4208 3991.64 0.478994 211 97 1 0 1 
-1.94703 -1.55768 93.5 16.432 35.5902 3989.23 0.47898 211 98 1 0 1 
1.74853 -9.69062 93.5 25.1477 -77.0429 4013.87 0.479051 211 99 1 0 1 
-1.3614 -3.54801 93.5 11.83 10.1876 3990.8 0.478961 211 100 1 0 1 
-1.29383 3.60276 93.5 10.1188 -30.8212 4009.6 0.47897 211 101 1 0 1 
6.20984 3.51652 93.5 -16.6193 -59.2156 3992.7 0.479014 211 102 1 0 1 
8.15267 -0.833631 93.5 54.6104 25.6225 3988.77 0.479012 211 103 1 0 1 
-3.39778 -0.900864 93.5 18.2104 5.62946 3990.72 0.478963 211 104 1 0 1 
0.80511 4.08267 93.5 -15.8498 49.8604 4001.89 0.478996 211 105 1 0 1 
-1.19065 -2.43105 93.5 75.741 -37.8207 3997.44 0.479063 211 106 1 0 1 
7.66793 -1.08877 93.5 6.7753 31.7531 3991.27 0.478973 211 107 1 0 1 
-1.104 8.11386 93.5 9.63234 2.25868 4008.87 0.478956 211 108 1 0 1 
-1.09667 -4.43162 93.5 -16.276 -41.5994 4006.47 0.478985 211 109 1 0 1 
8.63252 -1.3499 93.5 6.98844 -13.094 3979.01 0.478962 211 110 1 0 1 
-3.31995 -4.4417 93.5 -72.0819 -4.75012 4010.51 0.479032 211 111 1 0 1 
-3.30298 1.7319 93.5 -29.6291 19.1272 4004.49 0.478974 211 112 1 0 1 
4.77682 15.0975 93.5 -49.8532 65.0243 4010.02 0.479054 211 113 1 0 1 
6.12471 3.35866 93.5 5.47827 33.1205 4014.21 0.47897 211 114 1 0 1 
3.34192 -1.56048 93.5 25.723 -24.7885 3982.75 0.478978 211 115 1 0 1 
-7.59866 0.713823 93.5 22.6475 -22.2658 4009.57 0.478969 211 116 1 0 1 
-4.83028 -6.09525 93.5 26.1669 -0.533016 3996.63 0.478967 211 117 1 0 1 
5.24095 2.36301 93.5 38.7096 29.7052 4018.42 0.478988 211 118 1 0 1 
-0.186078 -2.54174 93.5 -94.4879 19.752 3987.94 0.479098 211 119 1 0 1 
3.62606 -3.88489 93.5 7.17227 33.1106 4000.19 0.478973 211 120 1 0 1 
-4.23865 -8.11293 93.5 0.395139 -50.6788 4000.69 0.478994 211 121 1 0 1 
4.58545 0.568415 93.5 38.5867 -26.5873 4010.03 0.478987 211 122 1 0 1 
6.25191 -0.10034 93.5 -61.8663 -0.246813 4013.01 0.479011 211 123 1 0 1 
-8.32095 -5.11236 93.5 40.4869 -57.262 3991.64 0.479031 211 124 1 0 1 
0.25051 1.53201 93.5 14.2451 -13.4357 3997.96 0.478962 211 125 1 0 1 
6.41548 0.49498 93.5 -1.67067 -12.2946 3992.01 0.478959 211 126 1 0 1 
-1.04362 -1.9288 93.5 79.7858 -57.5762 4002.59 0.4791 211 127 1 0 1 
-9.72538 -1.63908 93.5 28.422 13.2843 4024.07 0.478967 211 128 1 0 1 
0.495964 3.28102 93.5 -9.56278 75.7665 3993.7 0.479044 211 129 1 0 1 
-2.05617 -7.01621 93.5 -30.3902 -78.6174 4003.15 0.479061 211 130 1 0 1 
-2.36952 0.987113 93.5 -22.9839 32.3882 4006.01 0.478978 211 131 1 0 1 
-4.7146 -5.22542 93.5 4.78774 -36.5895 4001.05 0.478976 211 132 1 0 1 
-1.6428 1.08895 93.5 -105.554 -53.4394 4011.68 0.479162 211 133 1 0 1 
-3.22708 2.17249 93.5 -58.9849 -5.18579 3985.88 0.479011 211 134 1 0 1 
1.87821 3.64528 93.5 7.99718 15.7282 3989.98 0.478962 211 135 1 0 1 
-6.81268 -5.28319 93.5 -42.8795 10.9201 4016.69 0.478982 211 136 1 0 1 
-2.54149 5.54067 93.5 -62.3284 -7.68387 4003.1 0.479014 211 137 1 0 1 
-0.928211 -3.34052 93.5 -21.8537 -39.0676 3983.51 0.478988 211 138 1 0 1 
1.88688 7.15952 93.5 -13.7019 -6.50139 3986.76 0.478961 211 139 1 0 1 
-3.2678 -2.862 93.5 9.95281 25.0734 4006.49 0.478966 211 140 1 0 1 
-7.32294 0.0164458 93.5 -31.282 -5.61996 4004.87 0.47897 211 141 1 0 1 
-3.99187 5.03867 93.5 12.0516 24.1374 3990.81 0.478968 211 142 1 0 1 
-5.58561 -3.80472 93.5 -5.03275 -39.6574 4000.06 0.47898 211 143 1 0 1 
13.0835 -3.7797 93.5 17.3651 -44.2858 3985.98 0.478992 211 144 1 0 1 
-1.59594 7.28312 93.5 -35.0511 28.906 4003.31 0.478986 211 145 1 0 1 
-3.06068 0.118165 93.5 -15.0084 -0.285701 4008.11 0.478958 211 146 1 0 1 
-8.81652 -2.98786 93.5 -70.1243 15.0158 4003.67 0.479032 211 147 1 0 1 
-1.81856 -8.4536 93.5 31.9537 44.1279 3992.67 0.479001 211 148 1 0 1 
-2.04635 1.79888 93.5 -27.6576 13.2256 4016.79 0.478967 211 149 1 0 1 
0.907706 -3.02105 93.5 9.88663 -21.8677 4010.09 0.478963 211 150 1 0 1 
5.01674 1.65103 93.5 -31.1638 -10.5161 3992.74 0.478973 211 151 1 0 1 
-1.82351 -0.612042 93.5 -26.0872 38.644 4011.43 0.478986 211 152 1 0 1 
-0.532142 -3.91787 93.5 -11.7622 27.8496 4001.9 0.478969 211 153 1 0 1 
-5.36734 7.62583 93.5 -75.2822 27.2522 3994.91 0.479053 211 154 1 0 1 
1.83146 0.0487471 93.5 54.0038 4.31799 3991.87 0.479001 211 155 1 0 1 
-0.174803 3.67898 93.5 1.71602 -32.8633 4009.52 0.478971 211 156 1 0 1 
3.88224 -0.517374 93.5 -6.63582 -25.2298 3989.53 0.478968 211 157 1 0 1 
9.96372 7.94924 93.5 35.3932 19.798 4000.1 0.47898 211 158 1 0 1 
-2.07059 -1.96909 93.5 9.98157 26.2947 3994.64 0.478968 211 159 1 0 1 
-0.112179 -1.37134 93.5 36.5469 41.0192 3994.23 0.479002 211 160 1 0 1 
-2.24243 4.57269 93.5 -24.8397 8.3221 4015.88 0.478964 211 161 1 0 1 
-4.98495 -10.3374 93.5 -24.3008 -8.89371 4013 0.478964 211 162 1 0 1 
0.505727 -3.60865 93.5 90.1019 -33.4202 3995.51 0.479095 211 163 1 0 1 
-7.52024 2.50422 93.5 4.06731 39.5167 4014.43 0.478977 211 164 1 0 1 
3.24729 -3.47593 93.5 45.6207 8.90384 3999.33 0.478988 211 165 1 0 1 
9.88893 -12.477 93.5 -25.5227 -68.1938 4015.97 0.479032 211 166 1 0 1 
2.77619 -12.3245 93.5 -1.59571 3.04055 4000.69 0.478956 211 167 1 0 1 
-1.80281 7.7223 93.5 -64.8424 -8.55513 3998.43 0.47902 211 168 1 0 1 
2.9446 -5.42831 93.5 27.5447 -40.0114 3993.55 0.478992 211 169 1 0 1 
-2.20794 0.281533 93.5 -42.3636 -8.85489 4015.21 0.478981 211 170 1 0 1 
2.61723 -5.59887 93.5 -31.5126 -6.79009 4000.31 0.478971 211 171 1 0 1 
-8.55032 3.32249 93.5 13.3803 -20.4181 3998.53 0.478965 211 172 1 0 1 
0.562726 -3.38195 93.5 45.7788 24.8746 4001.67 0.478996 211 173 1 0 1 
11.1277 -2.95776 93.5 14.4888 -15.6056 3983.8 0.478965 211 174 1 0 1 
-8.60717 0.409242 93.5 -77.7426 -52.7168 4003.44 0.479087 211 175 1 0 1 
1.52122 -6.83326 93.5 -13.0476 -23.7863 3995.1 0.478968 211 176 1 0 1 
-4.26182 -1.55922 93.5 -17.8703 41.7561 4004.25 0.478986 211 177 1 0 1 
8.34745 -2.60438 93.5 -19.9042 -25.0695 4021.07 0.478968 211 178 1 0 1 
-1.54125 0.125532 93.5 21.8535 16.3158 4002.48 0.478967 211 179 1 0 1 
5.02285 1.42149 93.5 24.6054 39.6483 4005.19 0.478987 211 180 1 0 1 
10.8903 3.43127 93.5 -30.2085 -25.0625 3995.66 0.478979 211 181 1 0 1 
2.50952 -5.3873 93.5 -37.4548 66.6139 4018.84 0.47904 211 182 1 0 1 
0.0455949 2.19624 93.5 -12.0933 -14.5017 4015.36 0.478959 211 183 1 0 1 
2.5717 2.53827 93.5 74.5435 19.3278 4008.15 0.479043 211 184 1 0 1 
2.59742 -1.76353 93.5 49.1513 -39.4993 3980.78 0.479019 211 185 1 0 1 
2.08985 9.18405 93.5 -61.7703 66.8722 4007.17 0.479078 211 186 1 0 1 
4.75696 -9.77062 93.5 12.9518 -49.483 4001.96 0.478995 211 187 1 0 1 
-3.52862 5.17249 93.5 -12.8621 -33.0106 3989.53 0.478976 211 188 1 0 1 
1.39831 -13.6599 93.5 -18.1456 -38.0297 3994.67 0.478983 211 189 1 0 1 
5.63575 -2.05495 93.5 21.8731 14.9856 4007.1 0.478965 211 190 1 0 1 
7.5483 -1.63489 93.5 -2.08071 11.9658 4000.18 0.478958 211 191 1 0 1 
-4.49629 -1.86364 93.5 -31.2648 22.216 3991.85 0.478979 211 192 1 0 1 
1.44633 4.10177 93.5 17.6326 101.295 3989.4 0.479116 211 193 1 0 1 
6.77087 -2.82127 93.5 47.7741 2.7026 4005.23 0.478989 211 194 1 0 1 
-1.10791 -2.88651 93.5 -1.95231 21.7736 4003.03 0.478962 211 195 1 0 1 
8.07535 7.4202 93.5 29.5379 7.79969 3999.16 0.47897 211 196 1 0 1 
2.99208 4.59396 93.5 -4.58424 -63.8255 4010.56 0.479015 211 197 1 0 1 
-0.000471993 2.72095 93.5 -19.9609 -44.6032 3993.55 0.478993 211 198 1 0 1 
0.270001 -5.84541 93.5 -23.0955 42.0993 3994.84 0.478991 211 199 1 0 1 
2.23577 -3.24697 93.5 -56.3836 6.70087 4014.75 0.479001 211 200 1 0 1 
6.75819 -2.09471 93.5 43.9478 -14.2168 4004.32 0.478987 211 201 1 0 1 
-0.21117 2.19309 93.5 -2.29517 0.724528 4012.14 0.478954 211 202 1 0 1 
-10.8136 -1.70386 93.5 -43.2284 -30.1357 3992.02 0.478999 211 203 1 0 1 
2.63679 -12.9797 93.5 -91.0888 -15.7331 4013.97 0.479081 211 204 1 0 1 
3.887 -5.51416 93.5 65.8643 40.6742 3998.24 0.479046 211 205 1 0 1 
5.47213 -0.912342 93.5 79.0956 -21.3469 3994.44 0.479057 211 206 1 0 1 
-8.56854 -0.549182 93.5 -93.1762 -12.2132 4013.12 0.479085 211 207 1 0 1 
8.1097 -2.53843 93.5 21.5727 -63.3523 3997.02 0.479023 211 208 1 0 1 
-7.9096 -0.0923795 93.5 -12.6917 -17.4314 4003.64 0.478962 211 209 1 0 1 
5.13731 -2.62638 93.5 7.67311 -37.9274 4000.48 0.478978 211 210 1 0 1 
11.2362 7.04864 93.5 61.362 9.53895 4001.82 0.479013 211 211 1 0 1 
-1.8334 -0.210477 93.5 -58.332 -10.2951 4004.1 0.479008 211 212 1 0 1 
-0.589894 -2.40986 93.5 -2.52378 47.0989 3994.09 0.47899 211 213 1 0 1 
-5.38063 4.62173 93.5 16.1964 -45.356 3990.74 0.478992 211 214 1 0 1 
4.87278 2.03856 93.5 3.90888 38.3412 4002.59 0.478978 211 215 1 0 1 
-7.55258 0.964061 93.5 -79.3472 6.06106 4009.97 0.479049 211 216 1 0 1 
5.76125 0.962259 93.5 7.09567 60.7877 3993.9 0.479013 211 217 1 0 1 
-2.21183 0.112684 93.5 -87.9185 47.7811 4013.86 0.479102 211 218 1 0 1 
-2.14035 -1.97273 93.5 43.633 65.4677 3996.82 0.479049 211 219 1 0 1 
-3.06786 -7.58819 93.5 -71.4388 -26.5755 3996.95 0.479043 211 220 1 0 1 
7.09711 4.1673 93.5 -11.9419 44.7418 3991.68 0.478989 211 221 1 0 1 
1.20743 10.9819 93.5 19.0419 104.051 4003.09 0.479122 211 222 1 0 1 
5.58885 4.61006 93.5 3.72616 33.7781 4016.97 0.47897 211 223 1 0 1 
-5.45927 7.62832 93.5 2.69181 38.9771 3995.74 0.478979 211 224 1 0 1 
2.77086 2.5022 93.5 1.33646 -27.0541 4004.74 0.478966 211 225 1 0 1 
-0.0349742 11.5238 93.5 19.4841 49.4214 3991.78 0.478999 211 226 1 0 1 
1.46208 -11.9637 93.5 -57.9458 27.2543 4004.36 0.479016 211 227 1 0 1 
-2.71761 2.91599 93.5 -18.5135 -6.35574 4004.01 0.478961 211 228 1 0 1 
2.16352 -2.54081 93.5 5.22399 47.6498 3990.57 0.478992 211 229 1 0 1 
-10.2551 -5.54661 93.5 -33.7833 -36.5555 3994.66 0.478994 211 230 1 0 1 
-0.320212 -10.3741 93.5 -38.5617 -15.9735 3994.13 0.478983 211 231 1 0 1 
-3.64428 -0.576998 93.5 -32.2516 10.9861 3997.09 0.478974 211 232 1 0 1 
-0.270906 -0.0658432 93.5 -34.4613 68.7863 3987.77 0.479047 211 233 1 0 1 
5.10372 5.82725 93.5 16.1325 -46.747 4007.08 0.478991 211 234 1 0 1 
-3.85858 1.12092 93.5 -9.29554 0.989742 3990.85 0.478958 211 235 1 0 1 
-1.95392 -5.56137 93.5 -73.2576 -38.0919 3996.01 0.479058 211 236 1 0 1 
-2.77506 -0.037512 93.5 -20.1557 33.6345 3980.54 0.478982 211 237 1 0 1 
-2.52828 -8.60262 93.5 -48.4552 -15.6265 4000.68 0.478994 211 238 1 0 1 
9.9017 0.169006 93.5 35.6657 51.3344 4000.63 0.479014 211 239 1 0 1 
-3.82878 4.67797 93.5 -43.6628 6.65331 4003.5 0.478984 211 240 1 0 1 
0.723813 -5.71675 93.5 -31.4646 -46.3691 4019.18 0.478999 211 241 1 0 1 
-20.1262 -16.4208 94.5 -108.22 -55.3159 -27.0223 0.579504 22 241 1002 1001 1 
30.6137 -13.5012 94.5 41.4715 -10.6843 -7.19506 0.604245 22 241 1003 1001 1 
-1.62235 2.80915 93.5 0.743635 -12.5775 3990.94 0.478959 211 242 1 0 1 
-1.52378 0.90935 93.5 1.51097 -27.5842 4014.43 0.478965 211 243 1 0 1 
1.38258 -4.00984 93.5 -16.1873 34.0754 4015.13 0.478975 211 244 1 0 1 
-12.9933 1.81421 93.5 -96.5649 -20.7961 4003.92 0.479101 211 245 1 0 1 
6.06646 2.16525 93.5 -29.5418 -23.1791 4002.84 0.478976 211 246 1 0 1 
-6.879 -0.769408 93.5 -1.90711 -28.5608 3994.69 0.478969 211 247 1 0 1 
-6.71958 -7.23431 93.5 -25.1299 -61.532 4004.31 0.479021 211 248 1 0 1 
3.67569 5.89669 93.5 30.3126 -44.7605 4010.13 0.478998 211 249 1 0 1 
2.4548 -10.9172 93.5 -48.7764 16.379 3992.15 0.478997 211 250 1 0 1 
-2.89387 -1.71108 93.5 -76.3068 13.3487 4005.94 0.479044 211 251 1 0 1 
-4.83772 -5.1545 93.5 16.9785 48.4096 4003.53 0.478995 211 252 1 0 1 
4.11606 3.27938 93.5 9.54435 35.5216 4012.66 0.478974 211 253 1 0 1 
4.10423 4.30602 93.5 -85.9065 69.4812 3994.41 0.47914 211 254 1 0 1 
0.433691 -1.08061 93.5 -2.80795 65.3374 4012.13 0.479018 211 255 1 0 1 
-5.82512 0.101031 93.5 -20.03 12.0114 4012.26 0.478962 211 256 1 0 1 
8.59366 -7.12608 93.5 48.9575 20.4084 3997.31 0.478998 211 257 1 0 1 
