#BLTrackFile Det2_vd
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-13.2773 -1.90311 393.5 -149.018 -32.8309 8006.74 1.47985 211 1 1 0 1 
-2.06924 8.38206 393.5 -30.3249 60.6899 7998.87 1.47964 211 2 1 0 1 
-95.9183 42.096 393.5 -365.248 153.899 1077.34 1.5429 22 3 1009 1008 1 
-63.1899 69.0563 393.5 -180.593 188.237 798.338 1.52984 22 3 1010 1008 1 
-19.6273 -29.4888 393.5 -143.25 -195.733 1883.71 1.60034 2112 3 1011 1 1 
-10.5555 25.746 393.5 -35.9421 69.4211 802.644 1.49853 211 3 1015 1 1 
-59.3137 55.9829 393.5 -136.831 122.606 642.855 1.53993 -211 3 1019 1 1 
-48.7356 -84.9833 393.5 -51.6155 -86.3849 292.628 1.53511 22 3 1021 1020 1 
-15.1901 66.5856 393.5 -51.4066 192.302 846.152 1.51864 -211 3 1024 1 1 
9.97981 9.60208 393.5 36.3389 137.866 7993.28 1.47982 211 4 1 0 1 
7.89994 -5.59225 393.5 215.131 -69.6286 8001.08 1.48018 211 5 1 0 1 
2.49807 11.0193 393.5 -39.4076 -12.534 8006.07 1.4796 211 6 1 0 1 
1.7006 26.3181 393.5 24.2143 264.274 7985.02 1.4804 211 7 1 0 1 
17.2783 4.90077 393.5 149.075 129.972 7995.5 1.48003 211 8 1 0 1 
-4.40804 -2.41588 393.5 -21.1629 -20.7799 7991.1 1.47959 211 9 1 0 1 
9.37451 0.192805 393.5 93.414 43.4271 8002.57 1.4797 211 10 1 0 1 
11.0489 1.5479 393.5 101.158 -134.338 7987.79 1.47992 211 11 1 0 1 
4.71491 3.58975 393.5 122.155 0.117664 7989.91 1.47976 211 12 1 0 1 
7.24566 5.64626 393.5 -21.7196 37.1363 8020.55 1.4796 211 13 1 0 1 
67.3931 31.0345 394.5 6.18748 0.2922 -2.14721 1.73249 -11 13 1004 1003 1 
56.0389 21.7339 394.5 4.37098 0.467993 -2.95723 1.6879 11 13 1005 1003 1 
8.54456 13.744 393.5 21.4176 127.824 7998.03 1.47977 211 14 1 0 1 
-2.13955 -7.09005 393.5 -31.7117 73.3503 7993.9 1.47966 211 15 1 0 1 
2.16785 -0.716007 393.5 -24.1838 -99.4662 8002.39 1.4797 211 16 1 0 1 
5.19219 -10.1337 393.5 132.675 -18.6485 8020.88 1.47979 211 17 1 0 1 
